chr1	x1	x2	chr2	y1	y2	color	f1	f2	f3	f4	f5
1	204120000	204480000	1	204120000	204480000	255,255,0	0.8769	0.046789	0.051905	0.58951	0.65123
1	89930000	90080000	1	89930000	90080000	255,255,0	0.96726	0.064339	0.034105	0.55357	0.58929
1	233570000	233930000	1	233570000	233930000	255,255,0	1.5559	0.068174	0.030243	0.8858	0.8858
1	159750000	160010000	1	159750000	160010000	255,255,0	1.3812	0.049273	0.049072	0.85207	0.7574
1	47640000	47840000	1	47640000	47840000	255,255,0	1.2461	0.063413	0.034808	0.75	0.73
1	154530000	154920000	1	154530000	154920000	255,255,0	1.261	0.042114	0.05607	0.86053	0.80789
1	41320000	41450000	1	41320000	41450000	255,255,0	0.77974	0.028192	0.069662	0.5	0.5
1	212240000	212490000	1	212240000	212490000	255,255,0	1.4529	0.04823	0.049592	0.86538	0.8141
1	151840000	152010000	1	151840000	152010000	255,255,0	1.0991	0.038738	0.058485	0.70833	0.68056
1	175320000	175860000	1	175320000	175860000	255,255,0	1.1921	0.057954	0.03918	0.77092	0.72702
1	48550000	48720000	1	48550000	48720000	255,255,0	1.0274	0.035316	0.061748	0.625	0.65278
1	165900000	166410000	1	165900000	166410000	255,255,0	1.1148	0.052559	0.044448	0.78923	0.62
1	39550000	40030000	1	39550000	40030000	255,255,0	1.0084	0.043045	0.053906	0.78058	0.54893
1	52550000	52820000	1	52550000	52820000	255,255,0	1.5164	0.046619	0.050293	0.84066	0.87363
1	243220000	243490000	1	243220000	243490000	255,255,0	1.4119	0.057234	0.039492	0.63187	0.87363
1	36560000	36900000	1	36560000	36900000	255,255,0	1.3916	0.037667	0.059025	0.85813	0.78893
1	214360000	214810000	1	214360000	214810000	255,255,0	1.3211	0.041583	0.055055	0.8083	0.82016
1	229790000	230450000	1	229790000	230450000	255,255,0	1.6378	0.049692	0.046927	0.83563	0.93113
1	21540000	21990000	1	21540000	21990000	255,255,0	1.2039	0.04869	0.047891	0.85088	0.57895
1	212630000	213190000	1	212630000	213190000	255,255,0	1.2745	0.045354	0.05121	0.78699	0.80485
